market_price,I_current,I_old,entry_price,short_size,collateral,notional,equity,leverage,pnl,collateral_status,short_status,order_status,withdrawal_fees,funding_rates,maker_taker_fees,costs,gas_fees,total_costs_from_aave_n_dydx,total_stgy_pnl,index_of_mkt_price
1576.86,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,7.5e-05,10,7.5e-05,-0.0011452044716038826,28
1576.32,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.0032870796063618752,29
1572.81,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.006510154473574005,30
1574.29,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.010810411422110493,31
1574.76,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.01618657472219747,32
1573.44,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.022642228088997764,33
1571.83,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.03018174252212905,34
1572.73,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.038802674939122275,35
1571.97,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.048507088781967744,36
1573.0,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.05929218804754914,37
1572.88,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.07115829872262486,38
1572.52,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.08410639833968978,39
1573.94,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.09813263213371182,40
1573.86,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.11323721750047733,41
1573.88,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.12942010035838142,42
1572.83,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.1466841314339762,43
1573.52,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.16502743774709885,44
1574.47,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.1844474404763028,45
1577.62,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.20493558829716713,46
1578.2,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.22649030685450097,47
1579.41,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.2491083114853951,48
1580.84,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.2727857202765683,49
1580.28,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.2975240537152442,50
1580.97,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.323321438820943,51
1581.18,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.35017730570477085,52
1582.22,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.37808883121520576,53
1583.5,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.40705254065484886,54
1581.22,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.4370746239227053,55
1581.29,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.46815489119825726,56
1582.35,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.5002904650343858,57
1586.59,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.5334698350014304,58
1585.32,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.5676964490764156,59
1580.49,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.6029834198333611,60
1580.78,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.6393299602013813,61
1581.57,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.6767339257223404,62
1579.61,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.7152006375679258,63
1578.52,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.7547330550560923,64
1576.18,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.7953375309730355,65
1577.45,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.8370106177688615,66
1576.57,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.8797547046589995,67
1575.36,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.9235730767345505,68
1575.3,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-0.9684658970958291,69
1574.27,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-1.0144359621745898,70
1575.9,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-1.0614788471019314,71
1576.92,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-1.1095917830214526,72
1576.53,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-1.1587758289091032,73
1576.69,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-1.209030550614724,74
1576.27,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-1.260357088557535,75
1576.65,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-1.3127544113369125,76
1574.61,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-1.3662280573073682,77
1575.33,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-1.4207760720448415,78
1574.2,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-1.4764015234588164,79
1574.95,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-1.5331023756819575,80
1575.3,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-1.590877678756875,81
1573.95,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-1.6497310978436384,82
1571.88,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-1.7096682527403957,83
1568.58,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-1.7706981024186992,84
1567.69,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-1.8328230632423672,85
1570.59,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-1.8960352625776726,86
1569.97,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-1.9603363837991465,87
1571.48,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-2.0257223278103003,88
1570.05,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-2.0921969769535593,89
1570.13,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-2.1597601142608815,90
1570.55,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-2.2284105997406463,91
1570.78,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-2.298147809208507,92
1569.82,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-2.368974349062678,93
1570.85,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-2.4408874232985833,94
1569.61,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-2.513890398451575,95
1571.43,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-2.5879783338445037,96
1572.67,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-2.6631478633698435,97
1573.41,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-2.739396978307704,98
1574.8,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-2.8167219053341297,99
1575.3,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-2.8951212872752454,100
1572.71,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-2.9746021556133755,101
1570.76,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-3.0551698043746556,102
1571.78,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-3.1368214647020007,103
1570.84,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-3.2195596886983617,104
