,price,amount
0,1210.55,1491.0
1,1210.75,1833.0
2,1210.8,1270.0
3,1210.85,4823.0
4,1210.9,4664.0
5,1210.95,16999.0
6,1211.0,18603.0
7,1211.05,27832.0
8,1211.15,47662.0
9,1211.2,1708.0
10,1211.9,155.0
11,1212.2,1000.0
12,1212.65,1100.0
13,1216.95,2000.0
14,1225.45,2070.0
15,1500.0,52500.0
16,1609.1,123.0
17,1873.05,9000.0
18,2222.0,333.0
19,2400.0,10000.0
20,2885.0,47436.0
21,3889.65,100.0
22,4000.0,1000.0
23,4186.2,4215.0
24,5000.0,11000.0
25,5555.0,1.0
26,7180.4,1.0
27,9999.95,1.0
28,18285.0,30000.0
29,38500.0,40.0
0,1210.75,12181.0
1,1210.8,1612.0
2,1210.85,4823.0
3,1210.9,7092.0
4,1210.95,4500.0
5,1211.0,16067.0
6,1211.05,27995.0
7,1211.1,22571.0
8,1211.15,46913.0
9,1211.2,110010.0
10,1211.9,155.0
11,1212.2,1000.0
12,1212.65,1100.0
13,1216.95,2000.0
14,1225.45,2070.0
15,1500.0,52500.0
16,1609.1,123.0
17,1816.15,1.0
18,1873.05,9000.0
19,2222.0,333.0
20,2400.0,10000.0
21,2885.0,47436.0
22,3889.65,100.0
23,4000.0,1000.0
24,4186.2,4215.0
25,5000.0,11000.0
26,5555.0,1.0
27,7180.4,1.0
28,9999.95,1.0
29,18285.0,30000.0
30,38500.0,40.0
0,1208.65,1430.0
1,1208.8,2500.0
2,1208.85,6046.0
3,1208.9,4500.0
4,1208.95,14151.0
5,1209.0,4651.0
6,1209.05,14967.0
7,1209.1,4954.0
8,1209.15,58964.0
9,1209.2,100089.0
10,1210.75,100.0
11,1211.9,155.0
12,1212.2,1000.0
13,1212.65,1000.0
14,1216.95,2000.0
15,1225.45,2070.0
16,1500.0,52500.0
17,1609.1,123.0
18,1813.0,1.0
19,1873.05,9000.0
20,2222.0,333.0
21,2400.0,10000.0
22,2885.0,47436.0
23,3889.65,100.0
24,4000.0,1000.0
25,4186.2,4215.0
26,5000.0,11000.0
27,5555.0,1.0
28,7180.4,1.0
29,9999.95,1.0
30,18285.0,30000.0
31,38500.0,40.0
0,1208.65,1430.0
1,1208.8,2500.0
2,1208.85,6046.0
3,1208.9,4500.0
4,1208.95,14050.0
5,1209.0,5985.0
6,1209.05,17424.0
7,1209.1,4954.0
8,1209.15,56433.0
9,1209.2,100089.0
10,1210.75,100.0
11,1211.9,155.0
12,1212.2,1000.0
13,1212.65,1000.0
14,1216.95,2000.0
15,1225.45,2070.0
16,1500.0,52500.0
17,1609.1,123.0
18,1873.05,9000.0
19,2222.0,333.0
20,2400.0,10000.0
21,2885.0,47436.0
22,3889.65,100.0
23,4000.0,1000.0
24,4186.2,4215.0
25,5000.0,11000.0
26,5555.0,1.0
27,7180.4,1.0
28,9999.95,1.0
29,18285.0,30000.0
30,38500.0,40.0
0,1208.65,1430.0
1,1208.8,2500.0
2,1208.85,6046.0
3,1208.9,4500.0
4,1208.95,14050.0
5,1209.0,5985.0
6,1209.05,17424.0
7,1209.1,4954.0
8,1209.15,56433.0
9,1209.2,100089.0
10,1210.75,100.0
11,1211.9,155.0
12,1212.2,1000.0
13,1212.65,1000.0
14,1216.95,2000.0
15,1225.45,2070.0
16,1500.0,52500.0
17,1609.1,123.0
18,1813.0,1.0
19,1873.05,9000.0
20,2222.0,333.0
21,2400.0,10000.0
22,2885.0,47436.0
23,3889.65,100.0
24,4000.0,1000.0
25,4186.2,4215.0
26,5000.0,11000.0
27,5555.0,1.0
28,7180.4,1.0
29,9999.95,1.0
30,18285.0,30000.0
31,38500.0,40.0
0,1208.65,1430.0
1,1208.8,2500.0
2,1208.85,6046.0
3,1208.9,4500.0
4,1208.95,14050.0
5,1209.0,5985.0
6,1209.05,17424.0
7,1209.1,4954.0
8,1209.15,56433.0
9,1209.2,100089.0
10,1210.75,100.0
11,1211.9,155.0
12,1212.2,1000.0
13,1212.65,1000.0
14,1216.95,2000.0
15,1225.45,2070.0
16,1500.0,52500.0
17,1609.1,123.0
18,1813.0,1.0
19,1873.05,9000.0
20,2222.0,333.0
21,2400.0,10000.0
22,2885.0,47436.0
23,3889.65,100.0
24,4000.0,1000.0
25,4186.2,4215.0
26,5000.0,11000.0
27,5555.0,1.0
28,7180.4,1.0
29,9999.95,1.0
30,18285.0,30000.0
31,38500.0,40.0
0,1208.7,1.0
1,1208.75,3000.0
2,1208.85,3708.0
3,1208.95,5150.0
4,1209.0,15013.0
5,1209.05,5890.0
6,1209.1,7408.0
7,1209.15,100352.0
8,1209.2,62044.0
9,1209.25,111488.0
10,1210.75,100.0
11,1211.9,155.0
12,1212.2,1000.0
13,1212.65,1000.0
14,1216.95,2000.0
15,1225.45,2070.0
16,1500.0,52500.0
17,1609.1,123.0
18,1813.05,1.0
19,1873.05,9000.0
20,2222.0,333.0
21,2400.0,10000.0
22,2885.0,47436.0
23,3889.65,100.0
24,4000.0,1000.0
25,4186.2,4215.0
26,5000.0,11000.0
27,5555.0,1.0
28,7180.4,1.0
29,9999.95,1.0
30,18285.0,30000.0
31,38500.0,40.0
